item_code,material_description,brand,model,category,module_size,white_mrp,galaxy_black_mrp,silver_grey_mrp
R0110,6A 1 Way Switch,Wipro,Artisa,Switch,1M,200,250,250
R0111,6A 1 Way Switch with Indicator,Wipro,Artisa,Switch,1M,323,385,385
R0210,6A 2 Way Switch,Wipro,Artisa,Switch,1M,310,390,390
R0130,16A 1 Way Switch,Wipro,Artisa,Switch,1M,352,435,435
R0131,16A 1 Way Switch with Indicator,Wipro,Artisa,Switch,1M,427,480,480
R0230,16A 2 Way Switch,Wipro,Artisa,Switch,1M,451,535,535
R0132,16A 1 Way Mega Switch (25 AMP),Wipro,Artisa,Switch,2M,442,530,530
R0133,16A 1 Way Mega Switch with Indicator (25A),Wipro,Artisa,Switch,2M,510,620,620
R0233,16A 2 Way Mega Switch with Indicator (25A),Wipro,Artisa,Switch,2M,605,730,730
R0150,25A 1 Way Switch,Wipro,Artisa,Switch,1M,473,580,580
R0151,25A 1 Way Switch with Indicator,Wipro,Artisa,Switch,1M,545,641,641
R0171,32A DP Switch with Indicator,Wipro,Artisa,Switch,2M,1255,1360,1360
R0310,6A Bell Push Switch,Wipro,Artisa,Switch,1M,321,390,390
R0311,6A Bell Push Switch with Indicator 1M,Wipro,Artisa,Switch,1M,405,507,507
R0341,6A Mega Bell push with Indicator Palm 2M,Wipro,Artisa,Switch,2M,487,605,605
R0271,32A 2 Way DP Master Switch,Wipro,Artisa,Switch,2M,1665,1770,1770
R0330,10A 1M Intermediate ,Wipro,Artisa,Switch,1M,1915,2060,2060
RF110,6A 1 Way Switch Artisa Flat,Wipro,Artisa,Flat Switch,1M,290,366,366
RF111,6A 1 Way Switch with Neon Indicator Artisa Flat,Wipro,Artisa,Flat Switch,1M,455,530,530
RF210,6A 2 Way Switch Artisa Flat,Wipro,Artisa,Flat Switch,1M,410,515,515
RF211,6A 2 Way Switch with Neon Indicator Artisa Flat,Wipro,Artisa,Flat Switch,1M,510,615,615
RF130,16A 1 Way Switch Artisa Flat,Wipro,Artisa,Flat Switch,1M,465,530,530
RF131,16A 1 Way Switch with Neon Indicator Artisa Flat,Wipro,Artisa,Flat Switch,1M,620,705,705
RF230,16A 2 Way Switch Artisa Flat,Wipro,Artisa,Flat Switch,1M,645,710,710
RF231,16A 2 Way Switch with Neon Indicator Artisa Flat,Wipro,Artisa,Flat Switch,1M,780,815,815
RF161,20A 1 Way Switch with Neon Indicator Artisa Flat,Wipro,Artisa,Flat Switch,1M,645,705,705
RF310,6A Switch Bell Push Artisa Flat,Wipro,Artisa,Flat Switch,1M,550,575,575
RF311,6A Switch Bell Push with Neon Indicator Artisa Flat,Wipro,Artisa,Flat Switch,1M,665,700,700
R1212,6A 3 Pin Socket,Wipro,Artisa,Socket,2M,380,445,445
R1332,6-16A Socket,Wipro,Artisa,Socket,2M,520,650,650
R1352,6-16A Heavy Duty Socket (25A),Wipro,Artisa,Socket,2M,610,745,745
R1332P,6-16A Socket Power Protruded,Wipro,Artisa,Socket,2M,535,660,660
R1352P,6-16A Heavy Duty Power Protruded,Wipro,Artisa,Socket,2M,625,765,765
R1700,4 Step Fan Regulator,Wipro,Artisa,Regulator,1M,890,1070,1070
R1920,5 Step Fan Regulator,Wipro,Artisa,Regulator,2M,1365,1620,1620
R1500,400W Dimmer,Wipro,Artisa,Dimmer,1M,1205,1445,1445
R2700,1000W Dimmer,Wipro,Artisa,Dimmer,2M,1575,1960,1960
R4300,Volume Controller,Wipro,Artisa,Hospitality,2M,1450,1510,1510
R4401,Buzzer,Wipro,Artisa,Hospitality,2M,1270,1520,1520
R4797,TV Co - Axial,Wipro,Artisa,Hospitality,1M,320,370,370
R4900,RJ 11 Telephone Socket Single Shutter,Wipro,Artisa,Hospitality,1M,305,360,360
R5200,RJ 45 Computer Socket Cat6,Wipro,Artisa,Hospitality,1M,925,1020,1020
R4921,2A USB Charger,Wipro,Artisa,Hospitality,1M,2465,2700,2700
R4600,LED Indicator Lamp,Wipro,Artisa,Hospitality,1M,390,465,465
RFL922,LED Night Lamp (Foot Light),Wipro,Artisa,Hospitality,2M,945,1075,1075
R4604,DND-CMR Internal Indicator,Wipro,Artisa,Hospitality,2M,725,755,755
R4605,DND-CMR External Indicator,Wipro,Artisa,Hospitality,2M,395,405,405
R5500,30A Electronic Key Tag,Wipro,Artisa,Hospitality,3M,4970,5110,5110
R1542,Shaver Socket,Wipro,Artisa,Hospitality,4M,6445,6500,6500
R3900,Blanking Plate,Wipro,Artisa,Hospitality,1M,75,105,105
R4931,3A USB Type C Charger,Wipro,Artisa,Hospitality,1M,3125,3680,3680
R4932 ,3A TypeC Fast Charger,Wipro,Artisa,Hospitality,1M,4525,5330,5330
R4912,HDMI Port,Wipro,Artisa,Hospitality,1M,1440,1875,1875
6A-32A Single,6A-32A Single Pole Tiny Trip,Wipro,Artisa,Safety device,1M,580,705,705
6A-32A Double,6A-32A Double Pole Tiny Trip,Wipro,Artisa,Safety device,2M,1260,1525,1525
